salario,educacion,experiencia
2634.5,18,29
1507.3,8,6
1546.7,6,28
2368.4,15,27
1927.3,11,29
2271.9,13,24
1704.1,7,16
2125.2,11,18
2137.6,15,6
1904.4,11,10
2745.4,18,14
2454.5,17,29
2610.2,16,24
2783.1,19,17
2588.1,16,18
1932.8,8,13
2662.5,18,13
2494.7,15,27
857.3,7,0
1788.3,10,9
1720.9,8,12
3074.7,20,21
2469.4,16,12
2699.1,19,9
1246.9,10,2
2193.4,15,8
1855.4,15,3
2749.9,17,21
1633.5,7,13
1907.7,13,7
2498.2,15,16
2706.3,18,15
2500.6,15,14
2292.8,12,17
2160.1,12,19
1519.2,11,5
1203.1,8,4
2097.0,10,22
1792.0,8,30
1964.6,9,17
2712.5,18,13
2303.7,13,19
864.7,7,1
1960.1,12,11
1895.8,10,11
2484.3,15,13
2776.1,18,23
1761.3,6,15
2201.9,12,26
2187.8,12,14
2128.5,20,1
2219.2,11,20
1948.9,8,24
1849.4,8,17
2030.2,13,29
2306.9,14,12
2023.3,10,24
1278.4,12,0
1747.4,15,1
1993.8,10,24
